listing,price,brand,size
Coach H1026-F15141 Red Patent Leather Handbag With Removable Shoulder Strap,116.0,Coach,
8 Piece Lot Gold Tone CC Zipper Pull Button Charm Pendants,56.0,8,
Coach Silver and Gray wristlet,32.0,Coach,
Michael Kors “Camille” Lavender Crossbody Purse,175.0,Michael,
"Strawberry Festival Canvas Tote Bag
          
      NWT",7.0,Strawberry,
Coach Wristlet,24.0,Coach,
"BOSTANTEN Quilted Leather Backpack Travel Bag‎ Purse Handbag Zip Top Adjustable
          
      NWT",55.0,BOSTANTEN,
Vintage Dooney & Bourke Black Nylon Crossbody Camera Bag Tan Leather Trim,75.0,Vintage,
Louis Vuitton Monogram Coated Canvas Continental Wallet COA,275.0,Louis,
Elegant Silver Textured Women's Bag,65.0,Elegant,
Angela roí purse,100.0,Angela,
"𝅺masferre hand bag
          
      NWT",31.0,𝅺masferre,
Victoria Secret Sequin Clutch Purse Black Silver Double Zip Pockets Sparkly Glam,25.0,Victoria,
"Calvin Klein Hailey Micro Pebble Triple Compartment Chain Satchel
          
      NWT",65.0,Calvin,
Coach Kelsey Crossbody Satchel Bag Pebbled Leather Zip F57563,69.0,Coach,
Franklin Simon suede and grosgrain bow micro bag,90.0,Franklin,
"FOCO MLB Braves Logo Mini Backpack / purse NWT
          
      NWT",42.0,FOCO,Mini
COACH 13252 Madison Parchment OP Satchel SHOULDERBAG tote black,125.0,COACH,
Coach Coral Leather Tote Bag,170.0,Coach,
Mona B Upcycled Locksmith Crossbody Canvas w/Leather,15.0,Mona,
UGG AUSTRALIAN SUEDE LEATHER HANDBAG 👜,95.0,UGG,
Dooney & Bourke Black and Brown Leather Domed Purse,50.0,Dooney,
Chanel Matelasse Quartz Stainless Steel Watch,2220.0,Chanel,
Chains and Monogram Print Twilly Bandeau Wrap Scarf,35.0,Chains,
"Trader Joe's viral Canvas Tote Bags - green
          
      NWT",20.0,Trader,
"Pink soft padded nylon overnight laptop tote w/ double handle & adjustable strap
          
      NWT",19.0,Pink,
Kate Spade Neda Blake Avenue Polk Dot Continental Zip Wallet,40.0,Kate,
"Women Dark Taupe Imported Faux Leather Stylish Small Crossbody Messenger Bags
          
      NWT",49.0,Women,Small
DKNY Black Crossbody Bag for Women,20.0,DKNY,
Vintage St John Clutch Purse Wallet Black Patent Leather Gold Tone Logo Italy,44.0,Vintage,
Rebecca Minkoff Continental Wristlet Wallet Womens Blue Leather Zip Around Purse,40.0,Rebecca,
"NWT Brighton Love Essentials Black Crossbody Bag Heart Detail Adjustable Strap
          
      NWT",40.0,NWT,
"Classy Evening Bag with Shoulder Chain Lightweight Golden
          
      NWT",36.0,Classy,
"LIMITED Trader Joe's Large Reusable Insulated Bag Arroyo Bay Design / PEACH/ NWT
          
      NWT",23.0,LIMITED,Large
Coach Tan Suede Tote with Pouch,178.0,Coach,
"NWT Michael Kors Jet Set Travel Wallet New Ret$258
          
      NWT",67.0,NWT,
"Kelly and Katie Snakeskin Blue Multicolor Faux Leather Cross Body Bag Wallet NWT
          
      NWT",25.0,Kelly,
B. Mackowsky Black Leather Handbag,57.0,B.,
Think Royln Life on the Fly Blue Quilted Lacquer Crossbody Bag Striped Strap,35.0,Think,
Michael Kors jet set east west signature bag gold detail brown and gold,65.0,Michael,
lululemon athletica Shimmering Silver Tote,7.0,lululemon,
Cavallinho Black Faux Croc Leather Shoulder Tote Bag Crossbody Horse Logo‎,45.0,Cavallinho,
Coach Moto Optic Metallic Chain crossbody or shoulder bag,79.0,Coach,
Anya Hindmarch E/W Eyes Mini Crossbody Black Tote,400.0,Anya,Mini
Aldo‎ Black and White Zippered Pouch,15.0,Aldo‎,
Coach Hampton F10699 signature Shoulder Bag,125.0,Coach,
"Keychain bag FarmRio
          
      NWT",59.0,Keychain,
Michael Kors Knox Drawstring Loden Leather Bucket Bag,28.0,Michael,
LOUIS VUITTON Monogram Mini Lin Elise Trifold Wallet,200.0,LOUIS,Mini
Rachel Pally Floral Reversible Foldover Clutch Bag Purse,20.0,Rachel,
Harley-Davidson Leather Crossbody Bags for Women,49.0,Harley-Davidson,
Coach‎ Poppy Legacy Striped Sequin Hippie Bag,150.0,Coach‎,
💯Authentic Prada Two-Way  Leather Tote Bag🍀,899.0,💯Authentic,
Vintage Dooney & Bourke Purse and Wallet,62.0,Vintage,
BADGLEY MISCHKA LUX Rhinestone & Black Velvet Clutch / Shoulder / Crossbody NWT,75.0,BADGLEY,
Vince Camuto Brown Leather Shoulder Bag Excellent Condition,56.0,Vince,
Miss Fong‎ NWOT vegan leather tan convertable backpack purse large,32.0,Miss,Large
Vintage Disney Mickey Mouse Large Blue Tote Bag,20.0,Vintage,Large
Ipsy Makeup Glam Bag | Glitter Glam,12.0,Ipsy,
AIMEE KESTENBERG Sorrento Leather Crossbody Bag Oxblood,35.0,AIMEE,
Vintage Carryland Crossbody Bag,21.0,Vintage,
NWOT Tumi Voyager Canton Crossbody Bag,95.0,NWOT,
"Gucci Marmont Multicolor Crossbody Bag
          
      NWT",1100.0,Gucci,
PATRICIA NASH BLUE/BLACK TRNCHI BELT BAG SHERPA AND LEATHER BAG,74.0,PATRICIA,
"New KkCo knit crossbody bag
          
      NWT",50.0,New,
Kate Spade Black and White Tote Bag with Abstract Pattern,45.0,Kate,
Goodbye RARE AUTHENTIC VINTAGE MOSCHINO CHEAP AND CHIC Large wallet and dust bag,45.0,Goodbye,Large
"Marilyn‎ Monroe Beige Satchel Handbag Purse Tote Shoulder Bag NWT New
          
      NWT",40.0,Marilyn‎,
Coach Red Leather Tag,10.0,Coach,
040-Cole Haan Peach Pebbled Leather Shoulder bag,79.0,040-Cole,
Vera Bradley Gray Cherry Blossom Floral Card Holder,10.0,Vera,
"Vera Bradley NWT ultralight RFID Accordion Blue‎ Floral Wristlet cherry blossom
          
      NWT",29.0,Vera,
"Vintage‎ Black sequin clutch purse with strap, Ann Taylor brand",20.0,Vintage‎,
Louis Vuitton Brown Monogram Shoulder Bag,358.0,Louis,
Kooba Leather Multicolor Patchwork Wristlet Clutch Purse Wallet Boho 8 1/2 x 5,28.0,Kooba,
Vera Bradley lasses Case Multi Color Pattern Hard Shell‎ Case,13.0,Vera,
"NWT Fondata Bolla Wine Carrier Cross Body Black Bag
          
      NWT",25.0,NWT,
Tumi Voyager Nylon Weekender Travel Shoulder Bag Tangerine Orange,125.0,Tumi,
"Ted Baker Floral Black Red Chain Clutch Parisa Leather Crossbody
          
      NWT",154.0,Ted,
Michael Kors Kellen Crosshatch Leather‎ Satchel Medium 357GS0S6E Tote Adj Strap,100.0,Michael,Medium
Elegant Black Crossbody Bag,45.0,Elegant,
Elegant Black Shoulder Bag,40.0,Elegant,
Gucci Blue and Gray Crossbody Bag,370.0,Gucci,
Miu Miu Ruched Glazed Leather Shoulder Bag Silver Hardware-see callouts,399.0,Miu,
Harveys Meowy Christmas Cat Print Medium Streamline Tote Cross Body Bag,300.0,Harveys,Medium
"Beau & Ro Bag Company Tote Bag Clutch Nautical Boats Makeup Travel
          
      NWT",19.0,Beau,
"kate spade new york x Target Colorblock Beaded Crossbody Bag - Black/White NWT
          
      NWT",58.0,kate,
"Fossil Vintage “1954” Black Leather Shoulder Bag, Key Charm, 1990s, Y2K",45.0,Fossil,
"Marc by Marc Jacobs Handbag, Tan, One Size, Used - Excellent",280.0,Marc,
Kooba 'Kendal' Leather Satchel,45.0,Kooba,
SANDRA MAGSAMEN SILVERSTRI PRINCESS TOILETRY BAG,24.0,SANDRA,
Myra Bag Canvas & Leather Backpack Purse With Geometric Print & Hair-On Flap,58.0,Myra,
Dooney & Bourke Animal Print Crossbody Bag - Black and Cream,40.0,Dooney,
BVGARI Black Leather Bifold Wallet,138.0,BVGARI,
Coach Brown and Black Tri-Fold Wallet,55.0,Coach,
Vintage Susan Gail/Bellino Black Leather Convertible Clutch Shoulder Bag,33.0,Vintage,
"Authentic NWT Balenciaga Black Hourglass Small Satchel with Gold Accents
          
      NWT",1795.0,Authentic,Small
Vera Bradley 3 in 1 Crossbody/ Wristlet,25.0,Vera,
Michael Kors SIGNATURE bucket LOGO TOTE  with drawstring tassels MK SHOULDERBAG​,100.0,Michael,
Lockheart Bag,125.0,Lockheart,
"Brand new Coach leather crossbody
          
      Boutique",195.0,Brand,
Dooney & Bourke  Satchel Blue,69.0,Dooney,
"Kate Spade New York Market See Through Large Tote (New with tags)
          
      NWT",117.0,Kate,Large
"NWT - Tory Burch Romy Phone Small Crossbody
          
      NWT",180.0,NWT,Small
YSL Black Faux Leather Black Clutch NEW,67.0,YSL,
Kate Spade Crocodile Leather Crossbody Bag Gray,22.0,Kate,
"Loungefly Paul Frank Rainbow‎ Group Crossbody Bag
          
      NWT",75.0,Loungefly,
Chloé Faye Calfskin Bag,200.0,Chloé,
Auth DIOR/ChristianDior 30 Montaigne Lotus Wallet - Gray Leather Trifold Wallet,908.0,Auth,
Mini Coin Purse Keychain – Stylish Leather Bag Charm and Key Pouch for Women,28.0,Mini,Mini
Bottega Veneta Natural Anaconda Loop Bag,1400.0,Bottega,
Michael Kors Tan Leather Crossbody Bag,85.0,Michael,
