listing,price,brand,size
"Kenneth Cole Small Burgundy Shoulder Bag 8.5"" x 5"" x 2"" Wine Red",30.0,Kenneth,Small
🧚‍♀️LOUIS VUITTON Houston Yellow Vernis Bag,325.0,🧚‍♀️LOUIS,
Michael Kors Black Shoulder Bag with Gold Details,56.0,Michael,
"Valentino Orlandi Quilted Vegan Leather Crossbody Purse - NWT
          
      NWT",175.0,Valentino,OS
"Tory Burch SMALL ELEANOR BAG
          
      NWT",265.0,Tory,Small
"Brand new Tory Burch Small Eleanor Bag Black
          
      NWT",255.0,Brand,Small
"Coach Observed By Us Zip Card Case Khaki Signature Canvas Pink
          
      NWT",118.0,Coach,
Chanel Vintage Blk-lrg Leather Matelasse/Gold plated Chain shoulderstrap-Rank AB,4150.0,Chanel,
Vera Bradley Lime's Up Vera Tote Large Toggle Closure Carryall Shoulder Bag,40.0,Vera,Large
"NWT The Drop Women's Preston Belt Bag in Grey
          
      NWT",20.0,NWT,
NWOT Steve Madden Black and Green Camouflage Duffel Bag 23 L x 16 H x 7 W,36.0,NWOT,
Kate Spade Cape Drive Lynnie Bucket Tote Bag,65.0,Kate,
Ortegas Weaving Shop Chimayo Hand Woven Wool Shoulder Bag Navajo Native American,90.0,Ortegas,
"New Juicy Couture Bag
          
      NWT",15.0,New,
"CHANEL Beige Quilted Crossbody Bag with Gold Chain
          
      NWT",4850.0,CHANEL,OS
Patricia Nash garden party Floral Wristlet Pouch Clutch Purse Pink Yellow Blue,45.0,Patricia,
Chic Dark Brown Leather Shoulder Bag,18.0,Chic,
"Disney Mini Mouse crossbody bag
          
      NWT",25.0,Disney,Mini
Loungefly Deadpool Wallet,30.0,Loungefly,
A301- 💯% authentic Gucci shoulder bag,459.0,A301-,
Coach Klare Crossbody 25 Black Pebbled Leather purse,175.0,Coach,OS
Brown Leather Crossbody Bag,45.0,Brown,OS
Red Croc Embossed‎ Clutch Wallet Kiss Lock Bifold Organizer Pouch,17.0,Red,OS
"Michael Kors Jet Set Travel Large Patchwork Wristlet  35F4GTVW7Y MK
          
      NWT",53.0,Michael,Large
"Kate Spade Lavender Crossbody Bag
          
      NWT",81.0,Kate,OS
American West Brown Leather Fringe Shoulder Bag,75.0,American,
"Big Bundle of Packing Bags Variety
          
      NWT",19.0,Big,
Brahmin croc print leather bag,89.0,Brahmin,
Timbuk2 Tuck Pack Roll Top Water Resistant Laptop Backpack Black,54.0,Timbuk2,
Canada Black and Red Fanny Pack,18.0,Canada,
"NEW!  Baby its cold outside Snowman GRAPHIC Tote
          
      NWT",16.0,NEW!,
Vintage Coach NYC Madison Satchel Large 9615 Putty 1980s,310.0,Vintage,Large
Admiral Vintage Gold Metallic Clutch with Ornate Clasp Formal Bag,20.0,Admiral,
Aimee Kestenberg Large Black Quilted Weekender Tote Handbag Bag Purse,30.0,Aimee,Large
"Loungefly Easter Stitch Card Holder
          
      NWT",18.0,Loungefly,
Disney Parks Mickey Mouse Snowman Christmas Loungefly Backpack,55.0,Disney,
lululemon athletica Green and Black Logo Reusable Tote,15.0,lululemon,
Kate Spade Darcy Black Leather Tote Bag,86.0,Kate,
"Women Crossbody Tote Bag PU Leather Tote Top Handle Satchel Shoulder Bag, White
          
      NWT",13.0,Women,OS
Baggallini Crossbody Travel Bag Purse Nylon Lightweight Multi Compartment,30.0,Baggallini,OS
Michael Kors Large Monogram Barrel Handbag With New Crossbody Strap,143.0,Michael,Large
"New Tory Burch Nylon Cosmetic Case Bag Black
          
      NWT",79.0,New,OS
"Nine West Purse, Tote Bag,  Nine West Shoulder Bag - Poshmark 20% Commission Fee",29.0,Nine West,OS
Women’s Top Carry Crossbody Handbag Gray Mid Size Purse Bow Heart Charm Top Zip,25.0,Women’s,OS
Vintage Everest Original Top Sports Denim Jean Fanny Pack Adjustable Belt Bag‎,13.0,Vintage,
Kate Spade Black Crossbody Bag with Gold Chain *Preowned*,51.0,Kate,OS
"Mercer Extra-Small Pebbled Leather Crossbody Bag
          
      NWT",135.0,Mercer,Small
Hideaway Fashion Vintage Wool Patchwork Satchel Bag Womens Brown Plaid Tote,250.0,Hideaway,
ADIDAS mini faux fur backpack,220.0,ADIDAS,Mini
Pink Women's Bag with Charm terrycloth,250.0,Pink,
Vintage‎ Boho Woven Floral Handbag,35.0,Vintage‎,
BUENO Light Gray Faux Leather Crossbody Bag Womens Zip Pockets Adjustable Strap,9.0,BUENO,OS
Relic Floral Yellow Reversible Tote Shoulder Bag Fabric Nylon Top Handle Zip,25.0,Relic,
KAVU Green Patterned Women's Bag,19.0,KAVU,
Vintage HOBO International Tote Bag,35.0,Vintage,
New Disney Descendants 2 Backpack Purple,162.0,New,
"Leopard Pattern Beaded Shoulder Bag
          
      NWT",50.0,Leopard,
GEM PATTERN SILK VELVET BEADED MINI POUCH CROSSBODY BAG,30.0,GEM,Mini
Vintage Coach Bedford Multi-Function Wallet Keychain Wallet Red Leather 6994,85.0,Vintage,
