listing,price,brand,size
MICHAEL KORS women’s navy blue pebble leather bedford tassel shoulder bag,55.0,MICHAEL,
"New LC Lauren Conrad Crossbody Bag
          
      NWT",50.0,New,
CXL by Christian Lacroix Laine Matte Patent Crossbody Bag – Nude,40.0,CXL,XL
The Sak Silverlake Olive leather studded bag,49.0,The,
"Fall Kate Spade Women's Margaux Haircalf Medium Satchel Bag/ Animal Print Purse
          
      NWT",190.0,Fall,Medium
"Dark Gray Felt Clutch with OOAK Peacock Artwork
          
      NWT",35.0,Dark,
"Women’s Handmade/Upcycled Distressed Denim Shoulder Bag, Boho/Hippie/Street",26.0,Women’s,
"NWT Bath & Body Works Metallic Pink Wristlet with Bow Detail
          
      NWT",15.0,NWT,
"Dooney & Bourke Cream & Tan Pebble Grain Leather Camera Zip Crossbody Bag
          
      NWT",156.0,Dooney,
FLAWLESS Coach Signature Black Lurex Studded Shoulder Bag Purse,195.0,FLAWLESS,
JuJuBe × Hello Kitty Be Right Back Backpack — Hello Floral — Like New,140.0,JuJuBe,
Y2K Mudd Boho Floral Print Shoulder Bag Crossbody Teal Lining Snap Close Fringe,19.0,Y2K,
B.Makowsky Purse,50.0,B.Makowsky,
COA Dooney & Bourke Black/Brown Signature Canvas Tote Bag,65.0,COA,
Liebskind leather black and white wallet,45.0,Liebskind,
MYRA HAIR ON HIDE LEATHER SUEDE CROSSBODY BAG,90.0,MYRA,
"Ed Hardy Black Shoulder and Crossbody Bag with Pink Floral Embroidery and Charm
          
      NWT",55.0,Ed,
"COACH 2-strap Hailey Flap Bag With Quilting In Velvet/Qb/Burgundy CCE13 NWT
          
      NWT",208.0,COACH,
Victoria's Secret Pink and White Striped Tote,5.0,Victoria's,
"🆕 RADLEY LONDON Crossbody Shoulder Bag Teal Leather Handbag
          
      NWT",150.0,🆕,
Marc Jacobs Black with Gold Hardware Mini Camera Bag with Gold Chain,70.0,Marc,Mini
"Chic‎ Brown Tote with Black Handles
          
      NWT",31.0,Chic‎,
Michael Kors Champagne Metalic Gold Shopping Tote,40.0,Michael,
Vera Bradley tote bag & matching wallet,13.0,Vera,
Coffee Bean Canvas Tote Bag Vintage Boho Neutral Beige Leather Strap Purse,5.0,Coffee,
"Telfar Medium size bag in lavender, Super Excellent condition",166.0,Telfar,Medium
Red Gold Beaded Studded Crossbody Clutch Boho Evening Bag,35.0,Red,
"Vegan Leather Brown Handbag With Wallet
          
      Boutique",88.0,Vegan,
"Adidas Utility 4 Sling Bag adjustable crossbody‎ strap up Wonder White
          
      NWT",18.0,Adidas,
Brighton Mini Pebble Leather Crossbody – Silver Hardware,65.0,Brighton,Mini
Coach Black signature C pattern crossbody-6016,40.0,Coach,
Eddie Bauer Vintage Y2K Charcoal Gray Wool Blend and Leather Shoulder Bag,8.0,Eddie,
Adrienne Vittadini Pink Embossed Monogram Satchel Handbag with Floral Scarf,60.0,Adrienne,
Vintage Silver Beaded Shoulder Bag,15.0,Vintage,
"Victoria's Secret Metallic Silver Heart Bag Charm Keychain Zip Coin Purse
          
      NWT",28.0,Victoria's,
Elegant Brown Leather Crossbody Bag,10.0,Elegant,
"Authentic NEW Louis Vuitton Neverfull GM damier ebene wristlet pouch
          
      NWT",599.0,Authentic,
"Loungefly Disney Lilo and Stitch Water‎ Ducklings Mini Backpack Exclusive
          
      NWT",110.0,Loungefly,Mini
Disney Store Large Navy Tote With All Over Mickey Mouse Print,32.0,Disney,Large
Full Grain Italian Leather Satchel Handbag with Detachable Strap,438.0,Full,
LOVE peace sign large canvas tote w colorful graphic - Old Navy 16.5” x 15.5”,12.0,LOVE,Large
Leather Cross Body Purse Artisan Crafted Made in USA From My Personal Collection,41.0,Leather,
"NEW Steve Madden Vanity 4pc Crossbody Black Gift Set
          
      NWT",75.0,NEW,
KUSSHI Black with leopard lining  standard Makeup Bag 6” x11 1/2”,15.0,KUSSHI,
Fossil Black Leather Zip Around Wallet BillFold Women's -‎ One Size,27.0,Fossil,
"Loungefly Disney Mickey & Minnie Mouse Reversible Balloon Cosplay Wallet NWT
          
      NWT",65.0,Loungefly,
Rattan bag adorned with buttons,26.0,Rattan,
KAVU Zippit Cross Body Shoulder Bag Green And Orange Floral Pattern,20.0,KAVU,
Dooney Bourke Black Patent Leather Shoulder Bag Mint Condition Gold Hardware,68.0,Dooney,
Under Armour Black and Purple Gym Bag,45.0,Under,
Hobo Leather Green Small Crossbody,48.0,Hobo,Small
Kate Spade Laurel Way Evangelie satchel purse,100.0,Kate,
Kurt Geiger new Colorful Quilted Crossbody Bag,100.0,Kurt,
BRIGHTON FERRARA VELLA NOVA DOMED STUDDED BEECHWOOD CROSSBODY ORGANIZER BAG,200.0,BRIGHTON,
Adrienne Vittadini Straw Weave Blue‎ Faux Croc Trim Shoulder Bag Purse,45.0,Adrienne,
Harley Davidson Gray Black‎ Hard Shell Glasses Eye Sun Glass Case Designer Carry,13.0,Harley,
"Elegant Brown Leather Tote Bag
          
      NWT",129.0,Elegant,
Ted Lapidus Shoulder Bag,130.0,Ted,
Card Slots Lanyards Wallet Leather Shockproof Cover For Apple iPhone 11 Pro,12.0,Card,
Vintage 60s Bags by Susan White Beaded Clutch Made in Japan,45.0,Vintage,
Dooney & Bourke Signature Logo Wristlet Wallet + Card Holder Set NWOT,55.0,Dooney,
QR CODE,3.0,QR,
Louis Vuitton Amarante Monogram Vernis Zippered Insert Pochette Felicie,225.0,Louis,
Target x Kate Spade Red Beaded Pouch,45.0,Target,
Gold and Multicolor Cork Women's Clutch,10.0,Gold,
Gucci Brown Leather Crossbody Bag with Vintage Charm,500.0,Gucci,
Ipsy - June 2018 - Yellow Stripe Bag,8.0,Ipsy,
"RARE! NEW! CHANEL • Caviar Quilted Mini
Backpack/Crossbody SHW",6400.0,RARE!,Mini
NWT ALDO Black‎ Purse Butterfly/Heart Embossed; Black/White Strawberry Scarf,74.0,NWT,
"Plaid Patterned Women's Bag Strap
          
      NWT",8.0,Plaid,
"Rae Dunn 7.5” x 5.5” “POUCH” Zippered Bag
          
      NWT",8.0,Rae,
"Badgley Mischka Tote. New With Tags! Gorgeous!
          
      NWT",75.0,Badgley,
Dooney & Bourke Vintage Ostrich Satchel Style Bag Mustard Yellow,130.0,Dooney,
Fossil Talia Leather CrossbodyBag Adjustable Strap GRAYSTONE Small Blemishes,32.0,Fossil,Small
MICHAEL KORS BURNT ORANGE LEATHER SMALL CROSSBODY BAG,55.0,MICHAEL,Small
Vera Bradley Purple Teal Bold Color Zip Waterproof Cosmetic Case,12.0,Vera,
Kate Landry Silver Zebra Print Woven Tote with Chain and Leather‎ Straps,29.0,Kate,
PARKER & HYDE Cowhide Clutch,98.0,PARKER,
Elegant Woven Tan Handbag,13.0,Elegant,
"Patricia Nash Discovery Limited Edition Woven Rometta Satchel & Crossbody strap.
          
      NWT",156.0,Patricia,
